Symbol,Market Cap (intraday),Enterprise Value,Profit Margin %,Revenue Variance,Debt/Equity (mrq),Levered Free Cash Flow (ttm),52-Week Change
c,151900000000.0,-80810000000.0,14.33,69940000000.0,N/A,N/A,-2.74
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ctsh,26980000000.0,22690000000.0,14.22,9600000000.0,N/A,1070000000.0,2.88
cl,58170000000.0,62580000000.0,12.79,17440000000.0,292.76,2190000000.0,0.48
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
cop,83670000000.0,97100000000.0,15.56,58950000000.0,38.13,5220000000.0,-8.85
ed,17710000000.0,29730000000.0,9.75,13050000000.0,101.66,-2271200000.0,7.14
glw,23020000000.0,20410000000.0,14.77,8790000000.0,16.96,8400000000.0,16.67
cost,54660000000.0,51610000000.0,1.83,112640000000.0,40.7,N/A,4.51
cov,37770000000.0,42450000000.0,14.56,10420000000.0,50.42,1140000000.0,35.14
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
csl,5030000000.0,4950000000.0,8.49,3030000000.0,35.89,4050900000.0,7.29
csx,33640000000.0,41510000000.0,14.89,12510000000.0,86.31,7047500000.0,28.33
cvs,92660000000.0,103280000000.0,3.7,132050000000.0,35.07,4040000000.0,29.18
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
de,29840000000.0,63820000000.0,9.08,36550000000.0,340.28,-6912400000.0,-0.08
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dpw,138200000.0,110400000.0,-6.9,90300000.0,N/A,703000.0,173.24
dte,13610000000.0,22090000000.0,6.69,11550000000.0,106.57,-1975000000.0,14.39
dvn,23780000000.0,33780000000.0,11.25,14530000000.0,47.41,-7100000000.0,-10.55
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dtv,42660000000.0,59820000000.0,8.87,32440000000.0,N/A,2230000000.0,36.06
dnb,4170000000.0,5380000000.0,17.04,1660000000.0,N/A,2694000000.0,5.85
d,39920000000.0,63820000000.0,11.78,13060000000.0,213.2,-1380000000.0,6.75
dow,53890000000.0,66950000000.0,6.51,57500000000.0,63.88,2300000000.0,8.35
duk,55200000000.0,95740000000.0,8.9,24760000000.0,103.86,-1620000000.0,11.54
dd,61390000000.0,68290000000.0,8.39,35490000000.0,68.88,1650000000.0,11.09
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
air,9397100000.0,1430000000.0,3.49,1990000000.0,62.43,898200000.0,-14.19
ebay,59700000000.0,57380000000.0,-0.65,17050000000.0,28.05,6260000000.0,-8.28
ecl,32310000000.0,38520000000.0,7.87,13950000000.0,95.57,9881000000.0,1.82
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
lly,66770000000.0,66540000000.0,16.0,21200000000.0,29.6,2700000000.0,24.9
emc,54980000000.0,52400000000.0,10.98,23580000000.0,23.03,4560000000.0,14.55
emr,42680000000.0,45690000000.0,10.32,24540000000.0,60.15,2640000000.0,-7.88
enb,38040000000.0,64520000000.0,4.0,33430000000.0,154.99,-7120000000.0,7.07
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
eni,14920000000.0,18760000000.0,8.09,11080000000.0,43.14,4181300000.0,-9.92
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
exc,29540000000.0,49380000000.0,7.12,25930000000.0,88.53,1957500000.0,18.57
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
xom,387750000000.0,402060000000.0,8.59,397130000000.0,11.57,11530000000.0,3.48
fdx,44100000000.0,45350000000.0,4.79,46230000000.0,31.32,6168800000.0,20.16
f,54940000000.0,147420000000.0,4.51,146630000000.0,438.43,-3920000000.0,-20.25
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ora,1260000000.0,2220000000.0,9.74,5316900000.0,134.44,-655300000.0,2.17
ben,32230000000.0,24810000000.0,27.07,8320000000.0,18.09,2510000000.0,-5.44
fcx,31870000000.0,54230000000.0,11.17,22560000000.0,76.84,-2690000000.0,-13.33
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
gas,6230000000.0,10330000000.0,8.35,5560000000.0,108.16,-1975000000.0,11.84
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ge,250250000000.0,611800000000.0,8.86,146120000000.0,270.38,17330000000.0,-5.09
gis,29780000000.0,37980000000.0,9.61,17810000000.0,121.96,1620000000.0,-0.67
gm,48990000000.0,59720000000.0,2.08,156520000000.0,94.11,1210000000.0,-16.58
gild,153160000000.0,147160000000.0,42.8,17440000000.0,57.73,5850000000.0,42.03
gsk,104870000000.0,125920000000.0,19.33,39070000000.0,258.19,4300000000.0,-15.97
g,3430000000.0,3880000000.0,10.02,2180000000.0,69.27,1834800000.0,-20.15
gs,80760000000.0,-234070000000.0,23.32,33960000000.0,490.1,N/A,8.75
goog,348770000000.0,304790000000.0,20.29,65140000000.0,8.7,5480000000.0,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hal,45040000000.0,48850000000.0,9.49,30510000000.0,53.58,1860000000.0,-2.48
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hcp,19370000000.0,28470000000.0,46.9,2140000000.0,79.16,9425600000.0,0.09
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hei-a,2820000000.0,3190000000.0,10.55,1130000000.0,49.32,1338400000.0,6.25
hes,24480000000.0,28040000000.0,17.14,21360000000.0,24.95,1060000000.0,-7.16
hpq,63360000000.0,68810000000.0,4.54,112180000000.0,68.62,9610000000.0,44.8
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hon,70410000000.0,68140000000.0,10.14,39970000000.0,48.64,2800000000.0,7.47
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
imo,38910000000.0,43880000000.0,11.45,29950000000.0,28.2,-2320000000.0,1.69
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
pe,2030000000.0,2050000000.0,-9.55,2182200000.0,62.1,N/A,N/A
info,62330.0,N/A,-61.76,188200000.0,N/A,43200000.0,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
intc,153090000000.0,148220000000.0,19.4,54980000000.0,23.28,N/A,29.19
ibm,182170000000.0,216150000000.0,17.04,98270000000.0,265.35,9340000000.0,3.49
isp,96620000000.0,105240000000.0,-0.77,33540000000.0,400.14,N/A,8.35
intu,22930000000.0,21040000000.0,20.13,4510000000.0,16.21,1170000000.0,14.4
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
itc,5700000000.0,9650000000.0,25.53,1020000000.0,256.74,-4144300000.0,9.55
jnj,278280000000.0,258450000000.0,23.27,74430000000.0,21.95,N/A,5.62
jci,27180000000.0,34430000000.0,2.31,43870000000.0,60.99,1320000000.0,-5.61
jpm,211150000000.0,-192000000000.0,23.92,92450000000.0,N/A,N/A,1.44
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
k,21910000000.0,28750000000.0,12.6,14640000000.0,197.4,2090000000.0,-2.77
kmb,39640000000.0,45040000000.0,10.06,21190000000.0,145.69,1850000000.0,5.91
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
krft,32610000000.0,40940000000.0,13.4,18100000000.0,183.2,2360000000.0,1.3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
lin,1300000000.0,2190000000.0,23.43,7020300000.0,702.9,-884100000.0,-7.0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
lmt,55620000000.0,57770000000.0,7.1,44840000000.0,142.83,3980000000.0,35.55
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
low,51860000000.0,59740000000.0,4.52,54620000000.0,90.01,3620000000.0,7.87
mc,4661700000.0,3102800000.0,-6.09,4992300000.0,N/A,N/A,N/A
mro,22800000000.0,27860000000.0,18.45,14270000000.0,32.36,1270000000.0,-5.05
mmc,27520000000.0,28600000000.0,11.34,12610000000.0,43.08,1150000000.0,9.18
mdt,60630000000.0,59370000000.0,17.46,17080000000.0,66.5,3420000000.0,9.22
mrk,156640000000.0,163810000000.0,12.89,43550000000.0,47.57,10120000000.0,14.63
met,54800000000.0,86290000000.0,6.48,70550000000.0,84.48,8510000000.0,-3.22
msft,358930000000.0,290450000000.0,25.42,86830000000.0,25.86,23740000000.0,22.25
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
mon,56180000000.0,61370000000.0,17.28,15860000000.0,98.07,1310000000.0,4.65
ms,65120000000.0,-168800000000.0,13.23,33220000000.0,510.3,N/A,9.57
mtn,3020000000.0,3580000000.0,2.27,1250000000.0,75.06,626300000.0,16.32
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
nem,11210000000.0,16380000000.0,-5.72,7640000000.0,51.83,6122500000.0,-15.6
fox,69710000000.0,82760000000.0,14.17,31870000000.0,88.88,2190000000.0,-7.75
nke,75460000000.0,71750000000.0,9.98,28810000000.0,12.13,2300000000.0,14.63
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
nbl,20520000000.0,24720000000.0,13.85,5280000000.0,54.63,-1660000000.0,-21.9
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
nsc,32970000000.0,40150000000.0,16.83,11440000000.0,77.67,9475000000.0,31.18
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
oxy,69220000000.0,71840000000.0,24.2,24980000000.0,15.6,1740000000.0,-12.06
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
pson,135600000.0,132400000.0,N/A,N/A,15.56,-197090.0,-42.52
pep,137150000000.0,155710000000.0,10.39,66850000000.0,141.21,6060000000.0,9.37
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
pfe,176050000000.0,179520000000.0,20.66,50330000000.0,49.27,15600000000.0,-9.21
pcg,21060000000.0,36350000000.0,4.63,15990000000.0,100.9,-3040000000.0,8.39
pm,133110000000.0,161160000000.0,26.46,30430000000.0,N/A,8060000000.0,-1.92
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
pnc,43160000000.0,65120000000.0,27.88,15130000000.0,N/A,N/A,5.1
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
pot,26510000000.0,30320000000.0,23.17,6030000000.0,46.28,5797500000.0,-1.37
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
px,36230000000.0,44730000000.0,15.08,12160000000.0,122.2,1080000000.0,-2.06
pg,224790000000.0,248780000000.0,14.02,83060000000.0,50.61,6870000000.0,3.56
pru,37440000000.0,34040000000.0,6.03,47980000000.0,108.93,10150000000.0,-4.5
pru,37440000000.0,34040000000.0,6.03,47980000000.0,108.93,10150000000.0,-4.5
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
qcom,121680000000.0,101090000000.0,28.83,26280000000.0,0.03,7120000000.0,4.01
rtn,30050000000.0,30180000000.0,9.45,22920000000.0,39.82,2170000000.0,24.02
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
rai,30840000000.0,34900000000.0,19.39,8270000000.0,120.35,1840000000.0,12.81
rio,92440000000.0,108110000000.0,12.45,51000000000.0,45.18,6380000000.0,-3.99
rog,1000000000.0,8659900000.0,8.73,5791800000.0,13.03,641900000.0,-5.63
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
rbs,62570000000.0,-54240000000.0,-59.7,19700000000.0,N/A,N/A,-3.08
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
san,104130000000.0,242480000000.0,14.86,41440000000.0,N/A,N/A,-10.12
sap,82490000000.0,80760000000.0,18.66,21490000000.0,26.3,5100000000.0,-9.9
sol,2454000000.0,1060000000.0,-12.81,1660000000.0,554.31,-1186600000.0,-53.36
slb,122160000000.0,124050000000.0,14.03,46810000000.0,32.54,5470000000.0,-3.56
su,48840000000.0,54100000000.0,9.37,36130000000.0,27.39,2180000000.0,-10.01
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
spg,52000000000.0,72650000000.0,26.94,5360000000.0,356.63,1450000000.0,11.86
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
se,25150000000.0,39010000000.0,18.33,5800000000.0,130.96,-5093800000.0,5.13
sse,7417000000.0,2300000000.0,-1.79,2120000000.0,587.49,-936800000.0,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sbux,55210000000.0,55420000000.0,1.54,16080000000.0,40.39,1820000000.0,-8.41
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
stt,28480000000.0,-50650000000.0,20.86,9960000000.0,N/A,N/A,-5.13
stl,1080000000.0,1940000000.0,7.87,2117000000.0,N/A,N/A,17.52
su,48810000000.0,54100000000.0,9.37,36130000000.0,27.39,2180000000.0,-10.01
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
tgt,37590000000.0,51050000000.0,2.07,73230000000.0,86.34,1410000000.0,-8.09
tcs,8338800000.0,1180000000.0,1.58,7718000000.0,187.17,-2208600000.0,N/A
td,87380000000.0,-15000000000.0,27.34,24710000000.0,N/A,N/A,2.39
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
tef,62880000000.0,121640000000.0,8.19,68510000000.0,215.36,3380000000.0,-21.14
tel,21990000000.0,22840000000.0,10.93,13770000000.0,33.91,6862500000.0,-2.13
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
tsco,8070000000.0,8010000000.0,6.36,5390000000.0,0.25,2289600000.0,-12.89
teva,43690000000.0,54240000000.0,12.58,20540000000.0,47.35,3070000000.0,28.9
txn,46750000000.0,48380000000.0,18.41,12550000000.0,44.41,3030000000.0,7.07
cb,22280000000.0,23380000000.0,14.82,13880000000.0,20.0,1450000000.0,-1.4
ko,188020000000.0,205300000000.0,18.11,46220000000.0,117.34,7490000000.0,9.75
hd,122200000000.0,132150000000.0,7.18,80660000000.0,146.08,6530000000.0,19.0
so,41120000000.0,66550000000.0,12.34,18060000000.0,119.29,-5160000000.0,10.56
trv,31470000000.0,33450000000.0,13.45,26660000000.0,24.86,9340000000.0,6.04
tmo,44970000000.0,58780000000.0,9.95,14880000000.0,75.41,2160000000.0,14.12
twx,65760000000.0,82550000000.0,14.09,30570000000.0,87.09,11660000000.0,14.44
tjx,41870000000.0,40470000000.0,7.72,28200000000.0,37.99,2010000000.0,3.2
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
trp,33260000000.0,55180000000.0,18.81,8530000000.0,125.27,-1210000000.0,4.25
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
usb,71280000000.0,113370000000.0,32.64,17820000000.0,N/A,N/A,3.11
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ul,114270000000.0,123600000000.0,10.81,61160000000.0,92.86,5570000000.0,-1.45
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
unp,95500000000.0,102670000000.0,20.58,22860000000.0,50.57,2730000000.0,36.79
utx,93060000000.0,105890000000.0,9.02,64160000000.0,56.8,4390000000.0,-7.9
unh,84980000000.0,91460000000.0,4.37,126020000000.0,49.0,6050000000.0,24.19
ups,88960000000.0,94660000000.0,6.42,56540000000.0,213.05,3630000000.0,2.83
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
vz,199010000000.0,301220000000.0,12.5,123640000000.0,687.26,28290000000.0,-4.68
dg,18240000000.0,20640000000.0,5.7,18120000000.0,58.58,8530400000.0,-0.2
viv,22090000000.0,23010000000.0,13.31,14520000000.0,18.74,8341100000.0,-11.8
vod,80020000000.0,102470000000.0,154.53,60930000000.0,40.68,2340000000.0,-20.84
vod,80020000000.0,102470000000.0,154.53,60930000000.0,40.68,2340000000.0,-20.84
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
wmt,238920000000.0,285910000000.0,3.3,480480000000.0,65.45,10000000000.0,-2.5
dis,144760000000.0,152360000000.0,15.41,47990000000.0,33.19,6590000000.0,21.73
wlp,31630000000.0,25410000000.0,3.1,72090000000.0,68.69,1580000000.0,29.57
wfc,254280000000.0,151240000000.0,27.9,82280000000.0,N/A,N/A,12.77
wes,8310000000.0,10350000000.0,21.18,1200000000.0,75.4,-2986000000.0,17.01
wdc,20370000000.0,17380000000.0,10.69,15130000000.0,27.57,1580000000.0,19.26
wbc,5530000000.0,5190000000.0,22.39,2860000000.0,19.58,1828400000.0,4.18
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
yhoo,38510000000.0,36350000000.0,26.53,4620000000.0,9.25,1340000000.0,14.03
yum,29880000000.0,31960000000.0,10.83,13460000000.0,130.07,1150000000.0,1.41
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
blk,53310000000.0,55060000000.0,29.31,10700000000.0,120.78,2810000000.0,2.99
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
cfr,4640000000.0,4250900000.0,26.97,9293600000.0,N/A,N/A,2.65
cpg,14190000000.0,16150000000.0,6.11,2940000000.0,29.14,638900000.0,-16.15
dhr,52540000000.0,51730000000.0,13.51,19560000000.0,12.9,2490000000.0,3.04
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
glbz,333900000.0,366600000.0,16.39,143500000.0,N/A,N/A,5.67
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
itw,33130000000.0,34850000000.0,19.6,14410000000.0,85.43,3100000000.0,7.3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
